timestamp,open,high,low,close,volume
1749657600000,2864.0,2864.679931640625,2860.639892578125,2862.179931640625,8037.218
1749657660000,2862.18994140625,2863.360107421875,2858.5,2859.929931640625,10017.834
1749657720000,2859.93994140625,2863.300048828125,2859.35009765625,2860.02001953125,4841.145
1749657780000,2860.02001953125,2863.469970703125,2858.9599609375,2862.3798828125,4432.878
1749657840000,2862.389892578125,2862.52001953125,2856.0,2859.090087890625,11714.696
1749657900000,2859.080078125,2862.93994140625,2857.3798828125,2860.010009765625,9984.192
1749657960000,2860.0,2860.0,2855.0,2855.010009765625,11471.024
1749658020000,2855.0,2855.14990234375,2850.010009765625,2852.8798828125,28928.26
1749658080000,2852.8798828125,2854.43994140625,2851.760009765625,2853.340087890625,5394.86
1749658140000,2853.330078125,2855.760009765625,2851.590087890625,2854.10009765625,6944.811
1749658200000,2854.10009765625,2855.39990234375,2845.0,2846.97998046875,19631.022
1749658260000,2846.989990234375,2850.340087890625,2844.43994140625,2847.679931640625,12187.867
1749658320000,2847.679931640625,2850.949951171875,2846.47998046875,2850.090087890625,6098.605
1749658380000,2850.10009765625,2854.0,2848.830078125,2853.989990234375,4230.557
1749658440000,2853.989990234375,2858.0,2853.989990234375,2857.669921875,8474.017
1749658500000,2857.669921875,2860.0,2854.8798828125,2855.0,11214.708
1749658560000,2855.0,2856.25,2852.5400390625,2855.2099609375,7640.635
1749658620000,2855.219970703125,2855.60009765625,2850.72998046875,2850.8798828125,4828.057
1749658680000,2850.8798828125,2852.3798828125,2847.31005859375,2850.0,6496.661
1749658740000,2850.010009765625,2851.669921875,2848.199951171875,2850.7900390625,5207.034
1749658800000,2850.77001953125,2852.52001953125,2848.199951171875,2850.419921875,3987.674
1749658860000,2850.409912109375,2850.840087890625,2848.010009765625,2848.64990234375,2885.565
1749658920000,2848.659912109375,2851.0,2846.179931640625,2851.0,9396.672
1749658980000,2851.0,2856.43994140625,2851.0,2855.0,3816.242
1749659040000,2855.010009765625,2855.739990234375,2852.77001953125,2854.590087890625,2719.781
1749659100000,2854.580078125,2855.5,2853.070068359375,2854.56005859375,2155.337
1749659160000,2854.56005859375,2855.0,2850.8798828125,2854.31005859375,2821.136
1749659220000,2854.320068359375,2862.300048828125,2854.0,2860.050048828125,11555.857
